case,observations,train_hours,test_hours,train_start,train_end,test_start,test_end,selected_bins,test_nll_price_only,test_nll_hour_aware,terminal_salvage_price,price_min,price_max,price_mean,seed
Synthetic seed 0,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,4.023689272431151,3.99785549776322,50.09309084466371,-62.05457474194129,205.48792498311133,51.01815447919447,0.0
Synthetic seed 1,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.974980895957736,3.9536415924302863,51.28825825296137,-66.13578768731371,211.41519688346713,50.834738025002004,1.0
Synthetic seed 2,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.9843951071671726,3.9496798846151346,51.77412387915971,-68.15475220259688,210.1515041130212,51.7609732958729,2.0
Synthetic seed 3,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,4.02861590705714,4.020924664808729,52.093945459341306,-70.16024823899536,222.00617783288942,53.190562373968525,3.0
Synthetic seed 4,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.9669504957017026,3.9397969471427836,50.755577552698995,-71.91859109488581,200.14803697403613,50.82493692084026,4.0
Synthetic seed 5,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.9928011440443067,3.9824762214908507,51.38174785259301,-57.712214912166914,206.76879875394243,52.00053263631235,5.0
Synthetic seed 6,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.991868109367848,3.9703931681310363,51.311724261825354,-66.62667507758326,204.3792384539405,51.98457688950678,6.0
Synthetic seed 7,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,4.010948934744167,3.983382793894885,51.10844634258548,-69.70927058496393,207.21915123329086,51.01527646423665,7.0
Synthetic seed 8,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.997605005497334,3.970931029335679,51.20460704222601,-61.87705788371912,211.8382215786331,52.20275663506296,8.0
Synthetic seed 9,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,4.008424721690817,3.999573894249011,50.61542430022255,-60.255788689324234,195.94023237580626,50.454073059790964,9.0
Synthetic seed 10,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.9648758701381577,3.9383558676789883,51.313124933585755,-66.04178444867061,213.73980017383627,51.02088758924949,10.0
Synthetic seed 11,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,4.007220247633859,4.010495443029027,51.47502991003845,-65.34420246739069,209.39433415451467,52.2265391180255,11.0
Synthetic seed 12,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.931295729083875,3.8975333827021643,51.00494647068769,-62.52568686721848,221.99652572925316,51.36319025699351,12.0
Synthetic seed 13,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.9855601510726366,3.952691583533501,51.7240644430355,-59.003025541734765,197.9856857955438,52.35041133687659,13.0
Synthetic seed 14,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.9689448433769705,3.9400700575193013,51.217466031584436,-56.40963966459347,205.89260069315029,51.59266793045968,14.0
Synthetic seed 15,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,4.003074723356146,3.9844705566146286,50.72207727232637,-65.72821821003747,226.38839633039635,50.64971328902006,15.0
Synthetic seed 16,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,12,3.996158230042107,3.980201719352539,51.08750542216965,-61.48331739867103,214.6337698825867,52.48246719224957,16.0
