case,seed,n_bins,fold,model,fit_hours,validation_hours,mean_nll
Synthetic seed 0,0.0,4,1,price_only,6132,2044,4.3349861310985665
Synthetic seed 0,0.0,4,1,hour_aware,6132,2044,4.276273455997703
Synthetic seed 0,0.0,4,2,price_only,8176,2044,4.431963449433213
Synthetic seed 0,0.0,4,2,hour_aware,8176,2044,4.388466554653181
Synthetic seed 0,0.0,4,3,price_only,10220,2044,4.298256426223498
Synthetic seed 0,0.0,4,3,hour_aware,10220,2044,4.22819877349326
Synthetic seed 0,0.0,6,1,price_only,6132,2044,4.226798039183209
Synthetic seed 0,0.0,6,1,hour_aware,6132,2044,4.187220406945189
Synthetic seed 0,0.0,6,2,price_only,8176,2044,4.293932070929082
Synthetic seed 0,0.0,6,2,hour_aware,8176,2044,4.250425517564582
Synthetic seed 0,0.0,6,3,price_only,10220,2044,4.159562548265716
Synthetic seed 0,0.0,6,3,hour_aware,10220,2044,4.088074236452002
Synthetic seed 0,0.0,8,1,price_only,6132,2044,4.144219399893359
Synthetic seed 0,0.0,8,1,hour_aware,6132,2044,4.115541312424685
Synthetic seed 0,0.0,8,2,price_only,8176,2044,4.209352078990247
Synthetic seed 0,0.0,8,2,hour_aware,8176,2044,4.1731347494549995
Synthetic seed 0,0.0,8,3,price_only,10220,2044,4.06109666362844
Synthetic seed 0,0.0,8,3,hour_aware,10220,2044,3.9862341920251287
Synthetic seed 0,0.0,10,1,price_only,6132,2044,4.093632250988973
Synthetic seed 0,0.0,10,1,hour_aware,6132,2044,4.088869357872036
Synthetic seed 0,0.0,10,2,price_only,8176,2044,4.135382426416229
Synthetic seed 0,0.0,10,2,hour_aware,8176,2044,4.1326792433796316
Synthetic seed 0,0.0,10,3,price_only,10220,2044,4.014370503762372
Synthetic seed 0,0.0,10,3,hour_aware,10220,2044,3.968415152186448
Synthetic seed 0,0.0,12,1,price_only,6132,2044,4.028480025824111
Synthetic seed 0,0.0,12,1,hour_aware,6132,2044,4.065860788019001
Synthetic seed 0,0.0,12,2,price_only,8176,2044,4.098924091275186
Synthetic seed 0,0.0,12,2,hour_aware,8176,2044,4.128587634961795
Synthetic seed 0,0.0,12,3,price_only,10220,2044,3.9732577671456935
Synthetic seed 0,0.0,12,3,hour_aware,10220,2044,3.9514671242910095
