test_hours,cash_profit,terminal_soc_mwh,inventory_adjusted_profit,annualized_adjusted_profit,equivalent_full_cycles,max_cash_drawdown,oracle_efficiency_percent,case,symmetric_efficiency,round_trip_efficiency,degradation_cost_per_internal_mwh
5256,4665279.423757783,300.0,4670397.9610434575,7783996.6017390955,256.3,28581.444751447998,69.71635964330711,Synthetic seed 42,1.0,1.0,0.0
5256,3562750.072264447,100.0,3557631.534978772,5929385.891631287,202.3,27110.910530523863,70.34977421036268,Synthetic seed 42,1.0,1.0,5.0
5256,1812593.7670161847,0.0,1802356.692444835,3003927.8207413917,120.2,26048.25591150648,61.17924998592609,Synthetic seed 42,1.0,1.0,15.0
5256,4113609.822302101,100.0,4108747.21188071,6847912.019801184,217.1,27995.482573828194,71.07644218360755,Synthetic seed 42,0.95,0.9025,0.0
5256,3040524.887565853,0.0,3030799.666723071,5051332.777871785,186.2,26555.39383536065,68.47952975473652,Synthetic seed 42,0.95,0.9025,5.0
5256,1513732.0778314916,0.0,1504006.8569887094,2506678.0949811824,100.8,23412.421147525543,58.83393909804909,Synthetic seed 42,0.95,0.9025,15.0
5256,3596905.448703022,0.0,3587692.0815888075,5979486.8026480125,202.0,26801.700273097027,71.22351822960316,Synthetic seed 42,0.9,0.81,0.0
5256,2574409.65839894,0.0,2565196.2912847255,4275327.152141209,168.0,24306.297706449404,66.37727226610075,Synthetic seed 42,0.9,0.81,5.0
5256,1271850.6647225874,0.0,1262637.2976083728,2104395.4960139547,79.6,22703.985243818723,56.68861596667935,Synthetic seed 42,0.9,0.81,15.0
15120,5742555.0,300.0,5745491.0,3328736.8492063493,987.5,24596.0,76.80936435355437,DK1 historical,1.0,1.0,0.0
15120,1692292.0,100.0,1689356.0,978753.873015873,381.9,23876.0,46.600455920679515,DK1 historical,1.0,1.0,5.0
15120,379239.0,0.0,373367.0,216315.8015873016,39.4,14069.0,34.0354331605887,DK1 historical,1.0,1.0,15.0
15120,3745673.715789473,200.0,3745673.715789473,2170112.54962406,711.8,25890.526315789473,64.02310603681313,DK1 historical,0.95,0.9025,0.0
15120,1044255.2499999999,100.0,1041466.0499999999,603389.0607142857,160.3,16248.07368421051,36.34042619797884,DK1 historical,0.95,0.9025,5.0
15120,317853.7657894737,0.0,312275.3657894737,180921.44208437763,39.4,14414.736842105252,33.08960978574487,DK1 historical,0.95,0.9025,15.0
15120,2505727.1666666665,100.0,2503084.7666666666,1450199.9044973545,531.7,22244.14444444439,54.60444913822714,DK1 historical,0.9,0.81,0.0
15120,773009.7222222222,100.0,770367.3222222222,446323.92477954144,69.9,12661.111111111008,33.48116549743938,DK1 historical,0.9,0.81,5.0
15120,255735.0111111111,0.0,250450.2111111111,145102.10643738974,39.4,14798.888888888876,30.60258939735114,DK1 historical,0.9,0.81,15.0
