test_hours,cash_profit,terminal_soc_mwh,inventory_adjusted_profit,annualized_adjusted_profit,equivalent_full_cycles,max_cash_drawdown,case,policy,selected_bins,oracle_efficiency_percent,mean_daily_cash_advantage_hour_minus_policy,daily_advantage_block_ci95_lower,daily_advantage_block_ci95_upper,daily_advantage_block_days,daily_advantage_bootstrap_replications
15120,1044255.2499999999,100.0,1041466.0499999999,603389.0607142857,160.3,16248.07368421051,DK1 historical,Hour-aware finite-horizon MDP,10,36.34042619797884,0.0,0.0,0.0,7,5000
15120,751374.9657894736,100.0,748585.7657894737,433704.4516081871,50.5,10646.315789473767,DK1 historical,Price-only finite-horizon MDP,10,26.1207994005468,464.15258987405105,244.03944094586686,684.8305411210273,7,5000
15120,843770.4236842105,100.0,840981.2236842106,487235.1534043442,121.7,14143.736842105165,DK1 historical,Seasonal 24-hour MPC,10,29.344803023758665,317.7255567603636,144.74898156643584,486.1769678455249,7,5000
15120,833652.3894736841,100.0,830863.1894736842,481373.11771094403,97.5,13946.31578947368,DK1 historical,Training-quantile threshold,10,28.991749099920952,333.76047626991397,171.35648375594286,504.9618428350986,7,5000
15120,0.0,200.0,0.0,0.0,0.0,0.0,DK1 historical,Idle,10,0.0,1654.9211568938192,1330.7001396071398,2008.283596213195,7,5000
15120,2868650.0578947365,100.0,2865860.8578947363,1660379.7033834583,391.5,32008.421052631573,DK1 historical,Perfect-foresight upper bound,10,100.0,-2891.2754483276335,-3387.6925340937523,-2455.488307615314,7,5000
15120,1359394.9684210522,100.0,1356501.2684210523,785909.4650375937,307.5,43519.22105263149,DK2 historical,Hour-aware finite-horizon MDP,12,45.08978831270841,0.0,0.0,0.0,7,5000
15120,729742.847368421,100.0,726849.1473684211,421111.0139515455,48.9,13434.736842105282,DK2 historical,Price-only finite-horizon MDP,12,24.160297489631212,997.8639002418881,609.818864688464,1377.8749033489023,7,5000
15120,1001912.8184210525,200.0,1001912.8184210525,580473.2995614035,144.6,15983.157894736854,DK2 historical,Seasonal 24-hour MPC,12,33.30335027476868,566.5327258320124,264.77164807323345,879.2378456293256,7,5000
15120,920566.4789473685,100.0,917672.7789473685,531667.5624060151,96.3,14575.789473684155,DK2 historical,Training-quantile threshold,12,30.503230853027297,695.4492701643169,350.8781769747265,1055.9387243514884,7,5000
15120,0.0,200.0,0.0,0.0,0.0,0.0,DK2 historical,Idle,12,0.0,2154.350187672032,1687.375015430811,2637.3477092543158,7,5000
15120,3011338.226315789,100.0,3008444.5263157887,1742987.7017543856,391.5,32008.421052631587,DK2 historical,Perfect-foresight upper bound,12,100.0,-2617.976636917174,-3027.736418592043,-2238.6488623946952,7,5000
