test_hours,seed,cash_profit,terminal_soc_mwh,inventory_adjusted_profit,annualized_adjusted_profit,equivalent_full_cycles,max_cash_drawdown,case,policy,selected_bins,oracle_efficiency_percent
5256,0,3312257.210217421,0.0,3302739.5229569348,5504565.871594891,190.8,25434.462169931503,Synthetic seed 0,Hour-aware finite-horizon MDP,12,70.75175125512013
5256,0,2472012.894286912,0.0,2462495.2070264257,4104158.6783773764,93.8,19543.957163614687,Synthetic seed 0,Price-only finite-horizon MDP,12,52.751919169960836
5256,0,3126928.6473925128,0.0,3117410.9601320266,5195684.933553378,181.0,25977.40327815665,Synthetic seed 0,Seasonal 24-hour MPC,12,66.78161667856189
5256,0,2611816.4672444123,0.0,2602298.779983926,4337164.633306543,111.8,19665.22897114465,Synthetic seed 0,Training-quantile threshold,12,55.74681100133675
5256,0,0.0,200.0,0.0,0.0,0.0,0.0,Synthetic seed 0,Idle,12,0.0
5256,0,4677585.211197462,0.0,4668067.523936976,7780112.539894959,235.4,32275.00037476886,Synthetic seed 0,Perfect-foresight upper bound,12,100.0
5256,1,2994242.4050090266,0.0,2984497.635940964,4974162.726568273,189.0,25130.62927198736,Synthetic seed 1,Hour-aware finite-horizon MDP,12,71.62739765207318
5256,1,2228075.1765603265,0.0,2218330.4074922637,3697217.345820439,94.0,19652.461467588786,Synthetic seed 1,Price-only finite-horizon MDP,12,53.23952423605706
5256,1,2811601.0443581264,0.0,2801856.2752900636,4669760.458816773,174.2,26419.522705078823,Synthetic seed 1,Seasonal 24-hour MPC,12,67.2440383860059
5256,1,2320640.6534779444,0.0,2310895.8844098817,3851493.1406831364,103.8,19525.458814485697,Synthetic seed 1,Training-quantile threshold,12,55.461078759735415
5256,1,0.0,200.0,0.0,0.0,0.0,0.0,Synthetic seed 1,Idle,12,0.0
5256,1,4176443.1746670273,0.0,4166698.4055989645,6944497.34266494,231.6,51035.29056556383,Synthetic seed 1,Perfect-foresight upper bound,12,100.0
5256,2,2895248.0558205834,100.0,2890329.514052063,4817215.856753439,184.1,25744.69673448382,Synthetic seed 2,Hour-aware finite-horizon MDP,12,69.26484813050241
5256,2,1947309.756074396,200.0,1947309.756074396,3245516.2601239933,78.2,18875.582379703177,Synthetic seed 2,Price-only finite-horizon MDP,12,46.665999105563984
5256,2,2699022.3707488994,100.0,2694103.8289803793,4490173.048300632,172.1,26744.31455414556,Synthetic seed 2,Seasonal 24-hour MPC,12,64.56242848951848
5256,2,2112013.459669056,100.0,2107094.9179005357,3511824.8631675597,97.7,20290.583561158972,Synthetic seed 2,Training-quantile threshold,12,50.495145544953644
5256,2,0.0,200.0,0.0,0.0,0.0,0.0,Synthetic seed 2,Idle,12,0.0
5256,2,4177784.8542830176,100.0,4172866.3125144974,6954777.187524162,238.3,27782.668848351575,Synthetic seed 2,Perfect-foresight upper bound,12,100.0
5256,3,3153477.8114641537,0.0,3143579.961826879,5239299.936378132,183.8,25893.104383216705,Synthetic seed 3,Hour-aware finite-horizon MDP,12,69.2334006144293
5256,3,2096353.7029490708,0.0,2086455.853311796,3477426.4221863267,80.0,20169.555135098635,Synthetic seed 3,Price-only finite-horizon MDP,12,45.95156977419736
5256,3,2848986.312702936,0.0,2839088.4630656615,4731814.105109436,165.0,25893.104383216938,Synthetic seed 3,Seasonal 24-hour MPC,12,62.52735776728879
5256,3,2291981.8624115856,0.0,2282084.012774311,3803473.354623852,103.2,20191.02350420039,Synthetic seed 3,Training-quantile threshold,12,50.26003429553905
5256,3,0.0,200.0,0.0,0.0,0.0,0.0,Synthetic seed 3,Idle,12,0.0
5256,3,4550451.879814017,0.0,4540554.030176742,7567590.05029457,238.6,60832.327139005065,Synthetic seed 3,Perfect-foresight upper bound,12,100.0
5256,4,2760518.048836681,100.0,2755696.2689691745,4592827.114948624,187.3,25588.649813582888,Synthetic seed 4,Hour-aware finite-horizon MDP,12,65.8123113503022
5256,4,1941700.4603421548,100.0,1936878.6804746485,3228131.134124414,84.5,19245.835379619384,Synthetic seed 4,Price-only finite-horizon MDP,12,46.25707999918402
5256,4,2622193.169812384,0.0,2612549.6100773714,4354249.350128952,175.0,26578.418592352187,Synthetic seed 4,Seasonal 24-hour MPC,12,62.39364268575198
