case,observations,train_hours,test_hours,train_start,train_end,test_start,test_end,selected_bins,test_nll_price_only,test_nll_hour_aware,terminal_salvage_price,price_min,price_max,price_mean,seed,complete_day_observations,removed_incomplete_boundary_hours
Synthetic seed 0,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.935246189646961,3.99372679500072,50.09309084466371,-62.05457474194129,205.48792498311133,51.01815447919447,0.0,,
Synthetic seed 1,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.878328110761692,3.9465844979402953,51.28825825296137,-66.13578768731371,211.41519688346713,50.834738025002004,1.0,,
Synthetic seed 2,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,16.0,3.9299270597903173,3.9511863297957697,51.77412387915971,-68.15475220259688,210.1515041130212,51.7609732958729,2.0,,
Synthetic seed 3,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.9448884460779756,4.003239959389263,52.093945459341306,-70.16024823899536,222.00617783288942,53.190562373968525,3.0,,
Synthetic seed 4,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,24.0,3.8451020054977003,3.924382456413255,50.755577552698995,-71.91859109488581,200.14803697403613,50.82493692084026,4.0,,
Synthetic seed 5,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.911587796561057,3.9726324405105613,51.38174785259301,-57.712214912166914,206.76879875394243,52.00053263631235,5.0,,
Synthetic seed 6,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.9049572980452423,3.960169737816917,51.311724261825354,-66.62667507758326,204.3792384539405,51.98457688950678,6.0,,
Synthetic seed 7,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.8999001170987495,3.95851601269417,51.10844634258548,-69.70927058496393,207.21915123329086,51.01527646423665,7.0,,
Synthetic seed 8,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,16.0,3.9323315028444967,3.9446224073035103,51.20460704222601,-61.87705788371912,211.8382215786331,52.20275663506296,8.0,,
Synthetic seed 9,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,24.0,3.8785818881818575,3.9622039544446417,50.61542430022255,-60.255788689324234,195.94023237580626,50.454073059790964,9.0,,
Synthetic seed 10,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.8533707494242346,3.9041760492175905,51.313124933585755,-66.04178444867061,213.73980017383627,51.02088758924949,10.0,,
Synthetic seed 11,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.907575639333162,3.964169414707281,51.47502991003845,-65.34420246739069,209.39433415451467,52.2265391180255,11.0,,
Synthetic seed 12,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.8373043210231796,3.8865200548855086,51.00494647068769,-62.52568686721848,221.99652572925316,51.36319025699351,12.0,,
Synthetic seed 13,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,16.0,3.922027897347818,3.9508714901549937,51.7240644430355,-59.003025541734765,197.9856857955438,52.35041133687659,13.0,,
Synthetic seed 14,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.882081756273616,3.9468152351124015,51.217466031584436,-56.40963966459347,205.89260069315029,51.59266793045968,14.0,,
Synthetic seed 15,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.893357442817578,3.956209125532856,50.72207727232637,-65.72821821003747,226.38839633039635,50.64971328902006,15.0,,
Synthetic seed 16,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,16.0,3.9136489207649157,3.9447195252938396,51.08750542216965,-61.48331739867103,214.6337698825867,52.48246719224957,16.0,,
Synthetic seed 17,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.943935757042468,4.018539951075951,51.03173896598804,-71.48046397519184,208.3514584471663,51.25647975498058,17.0,,
Synthetic seed 18,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.852566205077161,3.9200067275548744,51.379112214431686,-71.38549682101663,207.44196070385743,51.98559191915861,18.0,,
Synthetic seed 19,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,16.0,3.914031434713094,3.9496295741305776,52.14236371436162,-60.640599743599935,214.43800139334286,52.70428104179531,19.0,,
Synthetic seed 20,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,20.0,3.941572023354839,3.9979488770471825,51.355790081354385,-59.69744180413482,211.7252171062192,51.66948736575491,20.0,,
Synthetic seed 21,17520,12264,5256,2023-01-01 00:00:00+00:00,2024-05-25 23:00:00+00:00,2024-05-26 00:00:00+00:00,2024-12-30 23:00:00+00:00,24.0,3.9501950202285805,4.04374734047641,51.03038414954679,-74.85151589664568,216.6190768735007,51.29105500174119,21.0,,
