case,forecast_method,information_available_through_delivery_timestamp,commitment_protocol,delivery_timestamp,lead_hour,forecast_price,realized_price,error
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 00:00:00+00:00,1,18.205892269054246,7.24,10.965892269054246
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 01:00:00+00:00,2,16.15845762993915,3.43,12.72845762993915
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 02:00:00+00:00,3,15.300080985795784,10.04,5.260080985795785
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 03:00:00+00:00,4,15.261847708051393,14.2,1.0618477080513937
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 04:00:00+00:00,5,16.124570720634935,25.41,-9.285429279365065
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 05:00:00+00:00,6,18.91783826145764,36.98,-18.062161738542358
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 06:00:00+00:00,7,23.656886491170873,43.89,-20.233113508829128
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 07:00:00+00:00,8,28.787443702207913,50.98,-22.192556297792084
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 08:00:00+00:00,9,33.226043339258524,50.3,-17.073956660741473
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 09:00:00+00:00,10,36.73509841306454,50.21,-13.47490158693546
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 10:00:00+00:00,11,39.589429803834555,45.8,-6.210570196165442
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 11:00:00+00:00,12,41.62271496853621,43.64,-2.0172850314637927
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 12:00:00+00:00,13,42.84626184137879,43.49,-0.6437381586212112
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 13:00:00+00:00,14,43.602862927924626,45.05,-1.4471370720753711
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 14:00:00+00:00,15,44.160357538278824,49.95,-5.789642461721179
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 15:00:00+00:00,16,43.909495286541066,53.82,-9.910504713458934
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 16:00:00+00:00,17,43.93284669679193,55.94,-12.00715330320807
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 17:00:00+00:00,18,43.78235825808264,54.19,-10.40764174191736
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 18:00:00+00:00,19,42.978636863813826,54.19,-11.211363136186172
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 19:00:00+00:00,20,42.046687830828446,52.98,-10.93331216917155
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 20:00:00+00:00,21,40.91213634097623,51.68,-10.767863659023767
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 21:00:00+00:00,22,39.228733116889686,50.96,-11.731266883110315
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 22:00:00+00:00,23,37.14565726179161,49.96,-12.814342738208389
DK1 day-ahead block,sarx,2019-01-08 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-09 23:00:00+00:00,24,35.05184584641855,50.51,-15.458154153581447
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 00:00:00+00:00,1,47.01730519166752,49.98,-2.962694808332479
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 01:00:00+00:00,2,42.711388052259004,49.55,-6.8386119477409935
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 02:00:00+00:00,3,39.423806318517066,49.98,-10.556193681482931
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 03:00:00+00:00,4,37.309126171405325,49.94,-12.630873828594673
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 04:00:00+00:00,5,36.427700447949356,49.8,-13.372299552050642
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 05:00:00+00:00,6,37.24703363818532,56.97,-19.722966361814677
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 06:00:00+00:00,7,39.06449991456799,72.6,-33.535500085432005
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 07:00:00+00:00,8,41.699689871689166,79.23,-37.53031012831084
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 08:00:00+00:00,9,43.97240914067085,79.17,-35.19759085932915
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 09:00:00+00:00,10,45.70441976839714,78.55,-32.84558023160286
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 10:00:00+00:00,11,46.86320798531456,77.44,-30.576792014685438
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 11:00:00+00:00,12,47.39333451875839,69.66,-22.26666548124161
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 12:00:00+00:00,13,47.51066120517153,63.61,-16.09933879482847
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 13:00:00+00:00,14,47.416751519280496,59.94,-12.523248480719502
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 14:00:00+00:00,15,47.46498559410786,59.01,-11.54501440589214
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 15:00:00+00:00,16,47.42358011118976,59.57,-12.146419888810243
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 16:00:00+00:00,17,47.579262982438216,59.21,-11.630737017561785
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 17:00:00+00:00,18,47.421262807706455,56.38,-8.958737192293547
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 18:00:00+00:00,19,46.827614378305405,54.28,-7.452385621694596
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 19:00:00+00:00,20,45.95890927849128,52.78,-6.821090721508725
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 20:00:00+00:00,21,44.95345280231962,52.01,-7.056547197680381
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 21:00:00+00:00,22,43.863770021565465,50.48,-6.616229978434532
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 22:00:00+00:00,23,42.72985076409664,49.44,-6.7101492359033585
DK1 day-ahead block,sarx,2019-01-09 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-10 23:00:00+00:00,24,41.85141248448531,47.84,-5.988587515514695
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 00:00:00+00:00,1,45.98302942598225,46.58,-0.596970574017746
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 01:00:00+00:00,2,44.372403591561564,45.74,-1.3675964084384375
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 02:00:00+00:00,3,43.370625554395325,43.81,-0.43937444560467753
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 03:00:00+00:00,4,42.9077421464894,46.24,-3.3322578535106047
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 04:00:00+00:00,5,43.009675739678855,46.46,-3.450324260321146
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 05:00:00+00:00,6,44.076840432941026,51.29,-7.213159567058973
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 06:00:00+00:00,7,46.513296370776644,53.03,-6.5167036292233576
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 07:00:00+00:00,8,49.496602327409406,54.25,-4.753397672590594
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 08:00:00+00:00,9,52.17813721299249,53.69,-1.5118627870075088
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 09:00:00+00:00,10,54.309220996219295,53.63,0.6792209962192928
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 10:00:00+00:00,11,55.71391401049476,53.32,2.393914010494761
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 11:00:00+00:00,12,56.07024841283713,51.89,4.1802484128371304
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 12:00:00+00:00,13,55.578956795362345,50.8,4.7789567953623475
DK1 day-ahead block,sarx,2019-01-10 23:00:00+00:00,schedule fixed before delivery-day auction clearing,2019-01-11 13:00:00+00:00,14,54.55464340374198,45.46,9.094643403741976
