case,seed,n_bins,fold,model,fit_hours,validation_hours,mean_nll
Synthetic seed 0,0,4,1,price_only,6132,2044,4.335974992538262
Synthetic seed 0,0,4,1,hour_aware,6132,2044,4.3068292716111225
Synthetic seed 0,0,4,2,price_only,8176,2044,4.433295024925964
Synthetic seed 0,0,4,2,hour_aware,8176,2044,4.420748632982672
Synthetic seed 0,0,4,3,price_only,10220,2044,4.2990786419340274
Synthetic seed 0,0,4,3,hour_aware,10220,2044,4.248992273268912
Synthetic seed 0,0,6,1,price_only,6132,2044,4.227632545585276
Synthetic seed 0,0,6,1,hour_aware,6132,2044,4.215003958164389
Synthetic seed 0,0,6,2,price_only,8176,2044,4.295810556828964
Synthetic seed 0,0,6,2,hour_aware,8176,2044,4.2940715646347165
Synthetic seed 0,0,6,3,price_only,10220,2044,4.160484073653915
Synthetic seed 0,0,6,3,hour_aware,10220,2044,4.112595586451399
Synthetic seed 0,0,8,1,price_only,6132,2044,4.1451442859420276
Synthetic seed 0,0,8,1,hour_aware,6132,2044,4.151585347114414
Synthetic seed 0,0,8,2,price_only,8176,2044,4.211728630278973
Synthetic seed 0,0,8,2,hour_aware,8176,2044,4.225752189230073
Synthetic seed 0,0,8,3,price_only,10220,2044,4.062357744813006
Synthetic seed 0,0,8,3,hour_aware,10220,2044,4.021118847590234
Synthetic seed 0,0,10,1,price_only,6132,2044,4.093133346779038
Synthetic seed 0,0,10,1,hour_aware,6132,2044,4.121827543752277
Synthetic seed 0,0,10,2,price_only,8176,2044,4.138211054499636
Synthetic seed 0,0,10,2,hour_aware,8176,2044,4.176755942573473
Synthetic seed 0,0,10,3,price_only,10220,2044,4.015394923527085
Synthetic seed 0,0,10,3,hour_aware,10220,2044,3.9942868665971445
Synthetic seed 0,0,12,1,price_only,6132,2044,4.029050738658746
Synthetic seed 0,0,12,1,hour_aware,6132,2044,4.08306770176332
Synthetic seed 0,0,12,2,price_only,8176,2044,4.101542396730688
Synthetic seed 0,0,12,2,hour_aware,8176,2044,4.1594295217298916
Synthetic seed 0,0,12,3,price_only,10220,2044,3.9740846161144643
