test_hours,cash_profit,energy_market_cash_flow,modeled_degradation_cost,terminal_soc_mwh,inventory_adjusted_profit,annualized_adjusted_profit,equivalent_full_cycles,max_cash_drawdown,case,policy,information_protocol,oracle_efficiency_percent,mean_daily_cash_advantage_sarx_block_minus_policy,daily_advantage_block_ci95_lower,daily_advantage_block_ci95_upper,daily_advantage_block_days,daily_advantage_bootstrap_replications
15120,228742.94726554392,809343.5026315788,580600.555366035,0.0,223164.54726554392,129293.74563797386,133.4,41244.07362664686,DK1 day-ahead block,SARX day-ahead block DP,24-hour schedule fixed before delivery day,7.458215606163967,0.0,0.0,0.0,7,5000
15120,543820.388133262,2377562.8043859648,1833742.4162527025,0.0,538241.988133262,311838.61217244546,404.0,75773.02026670688,DK1 day-ahead block,Previous-day persistence block DP,24-hour schedule fixed before delivery day,17.98818336055665,-500.1229220122512,-866.7146995488735,-139.87920733786123,7,5000
15120,697747.8639881252,1568619.0684210523,870871.2044329266,400.0,703326.2639881253,407482.67675502494,252.2,26747.352986715196,DK1 day-ahead block,Seasonal-mean day-ahead block DP,24-hour schedule fixed before delivery day,23.50534160813426,-744.4522487660029,-1037.8954922065066,-454.13591853585666,7,5000
15120,-604.7999999999998,0.0,604.7999999999998,200.0,-604.7999999999998,-350.3999999999999,0.0,604.8000000000299,DK1 day-ahead block,Idle,24-hour schedule fixed before delivery day,-0.02021256894913797,364.044043278641,99.64908517263275,651.3436786704519,7,5000
15120,2997775.9851852,4813447.186842105,1815671.201656905,0.0,2992197.5851852,1733574.7914168222,409.2,30141.58105263159,DK1 day-ahead block,Perfect-foresight upper bound,24-hour schedule fixed before delivery day,100.0,-4395.290536380407,-4940.396496427096,-3880.373349472006,7,5000
15120,329148.4894776204,1238288.842105263,909140.3526276426,0.0,323361.0894776204,187344.12326878007,205.2,69277.8311360829,DK2 day-ahead block,SARX day-ahead block DP,24-hour schedule fixed before delivery day,10.367714452992185,0.0,0.0,0.0,7,5000
15120,731545.8539063359,2559460.175438596,1827914.3215322602,0.0,725758.4539063359,420479.1042473216,395.4,57964.13753018654,DK2 day-ahead block,Previous-day persistence block DP,24-hour schedule fixed before delivery day,23.269517133621434,-638.7259752836754,-1010.6625146508911,-265.2671693011798,7,5000
15120,576286.37714602,1443327.181578947,867040.8044329267,400.0,582073.77714602,337233.2200925354,252.2,25899.230824996346,DK2 day-ahead block,Seasonal-mean day-ahead block DP,24-hour schedule fixed before delivery day,18.662649614935216,-392.28236137841265,-693.1007409893571,-84.26439342429494,7,5000
15120,-604.7999999999998,0.0,604.7999999999998,200.0,-604.7999999999998,-350.3999999999999,0.0,604.8000000000299,DK2 day-ahead block,Idle,24-hour schedule fixed before delivery day,-0.01939130558750682,523.4179198057465,162.17143084794185,909.9200229704634,7,5000
15120,3124710.9674242204,4967378.876315789,1842667.9088915684,0.0,3118923.5674242205,1806995.40017435,408.6,30142.58105263159,DK2 day-ahead block,Perfect-foresight upper bound,24-hour schedule fixed before delivery day,100.0,-4437.400758645396,-4953.112886890589,-3928.440686862922,7,5000
