test_hours,seed,cash_profit,energy_market_cash_flow,modeled_degradation_cost,terminal_soc_mwh,inventory_adjusted_profit,annualized_adjusted_profit,equivalent_full_cycles,max_cash_drawdown,case,policy,selected_bins,oracle_efficiency_percent,mean_daily_cash_advantage_hour_minus_policy,daily_advantage_block_ci95_lower,daily_advantage_block_ci95_upper,daily_advantage_block_days,daily_advantage_bootstrap_replications
5256,0,3090320.2148599634,3928167.7466183146,837847.5317583515,100.0,3085561.3712297203,5142602.285382868,173.5,21625.085440041148,Synthetic seed 0,Hour-aware finite-horizon MDP,20,65.59972779146631,0.0,0.0,0.0,7,5000
5256,0,2639202.4357915306,3180149.6808541436,540947.2450626135,100.0,2634443.5921612876,4390739.320268813,117.5,17849.775837899186,Synthetic seed 0,Price-only finite-horizon MDP,20,56.008862484196165,2059.8985345590545,1440.264348335249,2642.3466657436884,7,5000
5256,0,3331416.9783203555,4324639.431816751,993222.4534963961,0.0,3321899.2910598693,5536498.818433115,199.6,30740.101274698507,Synthetic seed 0,Seasonal autoregressive 24-hour MPC,20,70.6243250502401,-1100.8984632894626,-1675.275651358021,-470.0208930720222,7,5000
5256,0,2613249.3497540057,3170816.467244412,557567.1174904064,0.0,2603731.6624935195,4339552.7708225325,111.8,17808.028971143533,Synthetic seed 0,Training-quantile threshold,20,55.35591996134065,2178.405776739533,1359.3662359198315,3019.123137214339,7,5000
5256,0,-210.2399999999999,0.0,210.2399999999999,200.0,-210.2399999999999,-350.3999999999998,0.0,210.23999999999245,Synthetic seed 0,Idle,20,-0.004469749621405627,14112.011209406222,12593.83461270034,15751.659300064965,7,5000
5256,0,4713136.856288673,5881385.129234507,1168248.2729458336,0.0,4703619.169028187,7839365.281713645,245.4,30405.92037477065,Synthetic seed 0,Perfect-foresight upper bound,20,100.0,-7410.121650359405,-8432.743365301663,-6453.189499035252,7,5000
5256,1,2762496.511997739,3560927.4852380985,798430.9732403597,0.0,2752751.742929676,4587919.57154946,166.0,22755.010539745446,Synthetic seed 1,Hour-aware finite-horizon MDP,20,65.62015207570009,0.0,0.0,0.0,7,5000
5256,1,2298699.6285381303,2794192.840525329,495493.2119871988,0.0,2288954.8594700675,3814924.7657834454,110.8,19202.699015557067,Synthetic seed 1,Price-only finite-horizon MDP,20,54.56415252796581,2117.793988400039,1616.015359009676,2614.7131320793187,7,5000
5256,1,2989464.0222198125,3974944.7334938757,985480.7112740633,0.0,2979719.2531517497,4966198.755252916,197.8,32002.941972326487,Synthetic seed 1,Seasonal autoregressive 24-hour MPC,20,71.03060820392494,-1036.381325214948,-1665.1085795134559,-408.383076847977,7,5000
5256,1,2324945.8385267025,2839640.653477945,514694.8149512419,0.0,2315201.0694586397,3858668.449097733,103.8,17673.978814486647,Synthetic seed 1,Training-quantile threshold,20,55.1898102158719,1997.9482806896635,1251.9562121257422,2745.780573101717,7,5000
